year,month,mole fraction(ppm),trend(ppm),growth rate(ppm/yr)
1984,1,345.10,343.61,NaN
1984,2,345.51,343.74,NaN
1984,3,345.72,343.87,NaN
1984,4,345.75,343.99,NaN
1984,5,345.27,344.11,NaN
1984,6,344.11,344.24,NaN
1984,7,342.48,344.35,NaN
1984,8,341.52,344.47,NaN
1984,9,341.98,344.59,NaN
1984,10,343.43,344.71,NaN
1984,11,344.93,344.83,NaN
1984,12,345.86,344.95,NaN
1985,1,346.46,345.07,1.44
1985,2,346.86,345.19,1.44
1985,3,347.12,345.31,1.44
1985,4,347.14,345.43,1.44
1985,5,346.73,345.55,1.44
1985,6,345.59,345.67,1.44
1985,7,343.97,345.79,1.44
1985,8,342.98,345.91,1.44
1985,9,343.41,346.03,1.44
1985,10,344.88,346.15,1.45
1985,11,346.33,346.27,1.46
1985,12,347.28,346.39,1.46
1986,1,347.87,346.51,1.47
1986,2,348.30,346.64,1.47
1986,3,348.55,346.76,1.47
1986,4,348.60,346.88,1.48
1986,5,348.18,347.01,1.48
1986,6,347.07,347.13,1.50
1986,7,345.42,347.26,1.52
1986,8,344.45,347.38,1.56
1986,9,344.91,347.51,1.60
1986,10,346.41,347.65,1.65
1986,11,347.86,347.79,1.72
1986,12,348.70,347.94,1.79
1987,1,349.28,348.09,1.87
1987,2,349.71,348.25,1.95
1987,3,350.03,348.41,2.03
1987,4,350.19,348.59,2.10
1987,5,349.92,348.76,2.16
1987,6,348.93,348.95,2.21
1987,7,347.37,349.13,2.26
1987,8,346.46,349.32,2.29
1987,9,346.91,349.51,2.31
1987,10,348.43,349.71,2.33
1987,11,349.91,349.90,2.34
1987,12,350.96,350.10,2.34
1988,1,351.71,350.29,2.33
1988,2,352.15,350.49,2.32
1988,3,352.43,350.68,2.30
1988,4,352.57,350.87,2.28
1988,5,352.26,351.06,2.24
1988,6,351.17,351.24,2.19
1988,7,349.66,351.42,2.13
1988,8,348.79,351.60,2.06
1988,9,349.30,351.77,1.98
1988,10,350.82,351.93,1.89
1988,11,352.23,352.08,1.80
1988,12,353.21,352.23,1.71
1989,1,353.86,352.37,1.62
1989,2,354.27,352.50,1.53
1989,3,354.49,352.62,1.45
1989,4,354.48,352.74,1.38
1989,5,354.00,352.85,1.32
1989,6,352.84,352.96,1.26
1989,7,351.27,353.06,1.21
1989,8,350.28,353.16,1.17
1989,9,350.74,353.26,1.15
1989,10,352.17,353.35,1.12
1989,11,353.55,353.45,1.11
1989,12,354.41,353.54,1.11
1990,1,355.00,353.63,1.12
1990,2,355.38,353.73,1.14
1990,3,355.58,353.82,1.17
1990,4,355.59,353.92,1.20
1990,5,355.14,354.02,1.24
1990,6,353.93,354.13,1.28
1990,7,352.34,354.24,1.31
1990,8,351.33,354.35,1.34
1990,9,351.86,354.46,1.36
1990,10,353.36,354.57,1.37
1990,11,354.78,354.69,1.36
1990,12,355.71,354.80,1.34
1991,1,356.32,354.91,1.30
1991,2,356.78,355.02,1.25
1991,3,357.04,355.12,1.19
1991,4,356.97,355.21,1.12
1991,5,356.57,355.30,1.05
1991,6,355.41,355.39,0.99
1991,7,353.71,355.47,0.93
1991,8,352.65,355.54,0.88
1991,9,353.02,355.62,0.84
1991,10,354.47,355.68,0.80
1991,11,355.85,355.75,0.77
1991,12,356.64,355.81,0.75
1992,1,357.24,355.87,0.73
1992,2,357.54,355.93,0.72
1992,3,357.75,355.99,0.71
1992,4,357.81,356.05,0.70
1992,5,357.37,356.11,0.69
1992,6,356.11,356.17,0.69
1992,7,354.47,356.23,0.69
1992,8,353.43,356.28,0.69
1992,9,353.70,356.34,0.70
1992,10,355.17,356.40,0.72
1992,11,356.43,356.46,0.75
1992,12,357.28,356.53,0.79
1993,1,357.87,356.59,0.84
1993,2,358.24,356.66,0.89
1993,3,358.53,356.74,0.96
1993,4,358.57,356.82,1.03
1993,5,358.03,356.91,1.10
1993,6,356.82,357.01,1.17
1993,7,355.21,357.11,1.24
1993,8,354.28,357.21,1.30
1993,9,354.64,357.32,1.36
1993,10,356.15,357.44,1.41
1993,11,357.51,357.56,1.45
1993,12,358.43,357.68,1.49
1994,1,359.20,357.81,1.53
1994,2,359.71,357.94,1.56
1994,3,359.91,358.07,1.59
1994,4,359.96,358.20,1.62
1994,5,359.50,358.34,1.64
1994,6,358.30,358.47,1.67
1994,7,356.75,358.61,1.69
1994,8,355.84,358.76,1.71
1994,9,356.20,358.90,1.74
1994,10,357.76,359.05,1.76
1994,11,359.21,359.19,1.79
1994,12,360.18,359.34,1.83
1995,1,360.86,359.50,1.86
1995,2,361.37,359.65,1.89
1995,3,361.62,359.81,1.92
1995,4,361.70,359.98,1.95
1995,5,361.31,360.14,1.97
1995,6,360.10,360.30,1.98
1995,7,358.61,360.47,1.98
1995,8,357.62,360.63,1.97
1995,9,358.18,360.80,1.95
1995,10,359.76,360.96,1.92
1995,11,361.29,361.12,1.87
1995,12,362.23,361.27,1.81
1996,1,362.92,361.42,1.73
1996,2,363.40,361.56,1.65
1996,3,363.53,361.69,1.56
1996,4,363.55,361.82,1.46
1996,5,363.18,361.94,1.37
1996,6,362.05,362.05,1.29
1996,7,360.53,362.15,1.21
1996,8,359.45,362.25,1.15
1996,9,359.73,362.34,1.10
1996,10,361.23,362.43,1.08
1996,11,362.50,362.52,1.08
1996,12,363.37,362.61,1.10
1997,1,364.06,362.70,1.15
1997,2,364.41,362.80,1.22
1997,3,364.54,362.91,1.31
1997,4,364.69,363.02,1.42
1997,5,364.36,363.15,1.55
1997,6,363.05,363.28,1.70
1997,7,361.43,363.43,1.86
1997,8,360.40,363.59,2.02
1997,9,360.89,363.77,2.19
1997,10,362.55,363.96,2.36
1997,11,364.12,364.16,2.51
1997,12,365.14,364.37,2.65
1998,1,365.91,364.60,2.77
1998,2,366.39,364.84,2.86
1998,3,366.75,365.08,2.92
1998,4,366.96,365.32,2.95
1998,5,366.77,365.57,2.93
1998,6,365.81,365.81,2.87
1998,7,364.40,366.05,2.78
1998,8,363.55,366.28,2.66
1998,9,364.06,366.49,2.52
1998,10,365.71,366.70,2.36
1998,11,367.16,366.89,2.20
1998,12,368.08,367.06,2.04
1999,1,368.76,367.23,1.90
1999,2,369.21,367.38,1.77
1999,3,369.44,367.52,1.66
1999,4,369.42,367.65,1.57
1999,5,368.97,367.78,1.51
1999,6,367.73,367.91,1.46
1999,7,366.09,368.03,1.44
1999,8,365.13,368.15,1.43
1999,9,365.66,368.26,1.42
1999,10,367.10,368.38,1.43
1999,11,368.62,368.50,1.45
1999,12,369.55,368.62,1.46
2000,1,370.22,368.75,1.49
2000,2,370.62,368.87,1.51
2000,3,370.74,369.00,1.53
2000,4,370.78,369.13,1.54
2000,5,370.32,369.25,1.55
2000,6,369.19,369.38,1.56
2000,7,367.69,369.51,1.56
2000,8,366.69,369.64,1.55
2000,9,367.12,369.77,1.54
2000,10,368.73,369.90,1.53
2000,11,370.20,370.03,1.52
2000,12,371.16,370.15,1.51
2001,1,371.84,370.28,1.50
2001,2,372.08,370.40,1.50
2001,3,372.29,370.53,1.51
2001,4,372.33,370.65,1.52
2001,5,371.83,370.78,1.54
2001,6,370.68,370.91,1.58
2001,7,369.11,371.05,1.62
2001,8,368.15,371.18,1.68
2001,9,368.66,371.32,1.74
2001,10,370.27,371.47,1.80
2001,11,371.68,371.62,1.86
2001,12,372.66,371.78,1.93
2002,1,373.32,371.95,1.99
2002,2,373.78,372.11,2.04
2002,3,373.97,372.29,2.10
2002,4,374.09,372.46,2.15
2002,5,373.73,372.64,2.19
2002,6,372.65,372.83,2.24
2002,7,371.17,373.02,2.28
2002,8,370.30,373.21,2.33
2002,9,370.75,373.40,2.37
2002,10,372.43,373.60,2.40
2002,11,373.85,373.80,2.42
2002,12,374.84,374.01,2.43
2003,1,375.55,374.21,2.43
2003,2,376.08,374.41,2.41
2003,3,376.38,374.61,2.38
2003,4,376.59,374.81,2.34
2003,5,376.24,375.00,2.28
2003,6,375.16,375.19,2.21
2003,7,373.67,375.37,2.14
2003,8,372.89,375.54,2.06
2003,9,373.18,375.71,1.98
2003,10,374.68,375.87,1.90
2003,11,376.11,376.03,1.82
2003,12,377.05,376.18,1.75
2004,1,377.73,376.32,1.70
2004,2,378.23,376.46,1.66
2004,3,378.46,376.60,1.64
2004,4,378.44,376.73,1.64
2004,5,378.02,376.87,1.66
2004,6,376.91,377.01,1.70
2004,7,375.31,377.15,1.75
2004,8,374.29,377.30,1.81
2004,9,374.66,377.46,1.88
2004,10,376.20,377.62,1.95
2004,11,377.76,377.78,2.03
2004,12,378.73,377.95,2.10
2005,1,379.48,378.13,2.16
2005,2,380.00,378.31,2.22
2005,3,380.25,378.50,2.28
2005,4,380.41,378.69,2.31
2005,5,380.12,378.89,2.34
2005,6,379.10,379.08,2.35
2005,7,377.44,379.28,2.34
2005,8,376.47,379.47,2.32
2005,9,377.01,379.66,2.28
2005,10,378.55,379.85,2.24
2005,11,380.12,380.04,2.18
2005,12,381.25,380.22,2.11
2006,1,381.94,380.39,2.04
2006,2,382.41,380.56,1.97
2006,3,382.65,380.72,1.90
2006,4,382.67,380.87,1.84
2006,5,382.22,381.02,1.79
2006,6,381.06,381.17,1.75
2006,7,379.55,381.31,1.72
2006,8,378.51,381.46,1.71
2006,9,378.94,381.60,1.72
2006,10,380.42,381.74,1.74
2006,11,381.89,381.89,1.78
2006,12,382.80,382.04,1.83
2007,1,383.49,382.20,1.89
2007,2,384.02,382.36,1.95
2007,3,384.30,382.52,2.02
2007,4,384.34,382.69,2.07
2007,5,384.05,382.87,2.12
2007,6,382.93,383.05,2.16
2007,7,381.39,383.23,2.19
2007,8,380.40,383.41,2.20
2007,9,380.94,383.59,2.19
2007,10,382.58,383.77,2.16
2007,11,383.93,383.95,2.11
2007,12,385.02,384.13,2.06
2008,1,385.89,384.30,2.00
2008,2,386.34,384.46,1.94
2008,3,386.58,384.62,1.88
2008,4,386.68,384.77,1.83
2008,5,386.16,384.93,1.78
2008,6,385.04,385.07,1.74
2008,7,383.32,385.22,1.70
2008,8,382.29,385.36,1.67
2008,9,382.71,385.49,1.64
2008,10,384.20,385.63,1.61
2008,11,385.80,385.76,1.59
2008,12,386.93,385.89,1.58
2009,1,387.61,386.03,1.57
2009,2,388.02,386.16,1.57
2009,3,388.20,386.29,1.58
2009,4,388.18,386.42,1.61
2009,5,387.74,386.56,1.64
2009,6,386.51,386.69,1.68
2009,7,384.84,386.83,1.73
2009,8,383.82,386.98,1.80
2009,9,384.23,387.13,1.88
2009,10,385.89,387.29,1.96
2009,11,387.47,387.46,2.05
2009,12,388.48,387.64,2.14
2010,1,389.27,387.82,2.23
2010,2,389.81,388.01,2.30
2010,3,389.99,388.20,2.35
2010,4,390.09,388.40,2.38
2010,5,389.72,388.60,2.38
2010,6,388.58,388.79,2.35
2010,7,387.06,388.99,2.31
2010,8,386.26,389.18,2.25
2010,9,386.85,389.36,2.17
2010,10,388.48,389.54,2.09
2010,11,389.99,389.71,2.02
2010,12,390.98,389.88,1.95
2011,1,391.57,390.04,1.89
2011,2,392.03,390.19,1.84
2011,3,392.21,390.34,1.82
2011,4,392.11,390.50,1.81
2011,5,391.72,390.65,1.81
2011,6,390.52,390.80,1.83
2011,7,388.92,390.95,1.87
2011,8,388.03,391.11,1.91
2011,9,388.50,391.27,1.96
2011,10,390.22,391.44,2.02
2011,11,391.75,391.61,2.08
2011,12,392.69,391.78,2.15
2012,1,393.45,391.96,2.22
2012,2,393.93,392.15,2.28
2012,3,394.14,392.35,2.35
2012,4,394.20,392.54,2.42
2012,5,393.75,392.75,2.50
2012,6,392.61,392.96,2.57
2012,7,391.07,393.18,2.64
2012,8,390.29,393.40,2.69
2012,9,390.92,393.63,2.74
2012,10,392.68,393.86,2.77
2012,11,394.26,394.09,2.78
2012,12,395.36,394.32,2.77
2013,1,396.05,394.55,2.73
2013,2,396.56,394.78,2.68
2013,3,396.84,395.00,2.60
2013,4,397.07,395.21,2.52
2013,5,396.68,395.42,2.42
2013,6,395.61,395.61,2.33
2013,7,394.01,395.80,2.23
2013,8,393.19,395.99,2.14
2013,9,393.47,396.16,2.06
2013,10,395.15,396.33,1.99
2013,11,396.60,396.49,1.94
2013,12,397.62,396.65,1.91
2014,1,398.30,396.81,1.88
2014,2,398.68,396.97,1.88
2014,3,398.96,397.12,1.89
2014,4,398.91,397.28,1.91
2014,5,398.62,397.44,1.95
2014,6,397.43,397.61,1.99
2014,7,395.78,397.77,2.04
2014,8,394.87,397.95,2.09
2014,9,395.37,398.12,2.15
2014,10,396.95,398.30,2.21
2014,11,398.54,398.49,2.27
2014,12,399.66,398.68,2.34
2015,1,400.31,398.88,2.41
2015,2,400.83,399.08,2.49
2015,3,401.08,399.30,2.58
2015,4,401.16,399.51,2.67
2015,5,400.79,399.74,2.76
2015,6,399.66,399.97,2.86
2015,7,398.20,400.22,2.95
2015,8,397.34,400.47,3.04
2015,9,397.91,400.72,3.12
2015,10,399.69,400.99,3.18
2015,11,401.29,401.25,3.23
2015,12,402.46,401.52,3.26
2016,1,403.32,401.80,3.26
2016,2,403.81,402.07,3.23
2016,3,404.30,402.33,3.18
2016,4,404.43,402.60,3.11
2016,5,404.15,402.85,3.03
2016,6,403.04,403.10,2.93
2016,7,401.47,403.34,2.82
2016,8,400.64,403.57,2.70
2016,9,401.40,403.79,2.59
2016,10,402.95,404.00,2.48
2016,11,404.40,404.21,2.38
2016,12,405.31,404.40,2.29
2017,1,406.04,404.59,2.22
2017,2,406.53,404.77,2.16
2017,3,406.81,404.95,2.12
2017,4,406.87,405.12,2.10
2017,5,406.56,405.30,2.10
2017,6,405.34,405.47,2.10
2017,7,403.77,405.65,2.12
2017,8,402.68,405.83,2.15
2017,9,403.17,406.01,2.17
2017,10,404.84,406.19,2.21
2017,11,406.47,406.37,2.24
2017,12,407.46,406.56,2.26
2018,1,408.18,406.75,NaN
2018,2,408.79,406.94,NaN
2018,3,409.04,407.14,NaN
2018,4,409.14,407.33,NaN
2018,5,408.64,407.53,NaN
2018,6,407.56,407.72,NaN
2018,7,405.94,407.92,NaN
2018,8,405.08,408.12,NaN
2018,9,405.55,408.32,NaN
2018,10,407.23,408.53,NaN
2018,11,408.87,408.73,NaN
2018,12,409.94,408.94,NaN
